email,company,first_name,segment,city,personal_note,source
,Victorville Glass,,installer,Victorville,,"victorvilleglass.com — (760) 245-3456"
,Apple Valley Glass,,installer,Apple Valley,,"21840 US Hwy 18 — (760) 247-8003"
,High Desert Window & Glass,,installer,Hesperia,,"highdesertwindowandglass.com — (760) 947-5254"
,Vern's Glass,,installer,Victorville,,vernsglass.com
,Thunderbird Glass Co,,installer,Victorville,,tbglassco.com
,Option One Solar,,solar,Apple Valley,,optiononesolar.com
,SoCal Energy Group,,solar,Victorville,,socal-energygroup.com
,Guasti Solar,,solar,Oak Hills,,guastisolar.com
,Cinran Electrical Solutions,,solar,Apple Valley,,
,High Desert Solar Solutions,,solar,High Desert,,
,Baker Home Energy,,solar,Riverside,,bakerhomeenergy.com
,Progressive Energy Solutions,,solar,Inland Empire,,progressiveenergysolutions.com
,Solar Energy Builders,,solar,Inland Empire,,solarenergybuilders.com
,California Solar,,solar,San Bernardino,,ca-solar.com
,True PWR,,solar,Riverside,,truepwr.com
,Preston-Lee Management,,property,Victorville,,prestonleemanagement.com
,The Abbey Company,,property,Victorville,,Wimbledon Office Park — theabbeyco.com
,Utopia Management,,property,Victorville,,utopiamanagement.com
,Provest Realty,,property,Apple Valley,,
,REMM Group,,property,Victorville,,Riverton of the High Desert
,Action Property Management,,hoa,Inland Empire,,actionlife.com
,Valley Insured Property Management,,hoa,Victorville,,
,Valley Hi Toyota,,dealership,Victorville,,valleyhitoyota.com
,Valley Hi Nissan,,dealership,Victorville,,valleyhinissan.com
,Victorville Chevrolet,,dealership,Victorville,,vvchevy.com
,Victorville Hyundai,,dealership,Victorville,,victorvillehyundai.com
,Victorville Cadillac,,dealership,Victorville,,vvcadillac.com
,Caposio Buick GMC,,dealership,Victorville,,caposio.com
,Platinum Auto Group,,dealership,Victorville,,platinumvv.com
