Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Maximum CPC bid limit,Campaign Status,Languages,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
HD Search Sprint,Search,Google search,35.00,Daily,Maximize clicks,6.00,Paused,English,,,,,,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,phone screen,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,iphone,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,samsung,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,tv,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,laptop,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,monitor,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,computer,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,screen protector,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,screen printing,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,screen recorder,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,screenshot,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,diy,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,how to,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,job,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,jobs,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,hiring,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,career,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,salary,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,supplies,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,equipment for sale,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,squeegee,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,franchise,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,car,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,auto,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,windshield,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,tint,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,window replacement,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,window installation,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,glass repair,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,glass replacement,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar installation,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar installer,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar panels for sale,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar quote,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar cost,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,tesla,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pest control near me,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,exterminator,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,rat,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,mice,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,termite,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,bee,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,wasp,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pigeon for sale,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pigeon racing,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pigeon food,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,graffiti art,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,graffiti font,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,graffiti wallpaper,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,banksy,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pressure washer rental,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,pressure washer for sale,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar panel cleaning kit,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,,,,solar panel cleaning brush,Negative Phrase,,,,,,,,,,,,,,,,,,,,,
